45	Salmon	Pretend this is a good description of a Salmon-ish color
46	Fire Brick	Pretend this is a good description of a Fire Brick-ish color
47	Candy Apple Red	Pretend this is a good description of a Candy Apple Red-ish color
48	Burnt Thistle	Pretend this is a good description of a Burnt Thistle-ish color
49	Cream	Pretend this is a good description of a Cream-ish color
50	Pale Turquoise	Pretend this is a good description of a Pale Turquoise-ish color
51	Tumbleweed Tweed	Pretend this is a good description of a Tumbleweed Tweed-ish color
52	Bumpy Black	Pretend this is a good description of a Bumpy Black-ish color
53	Flat Black	Pretend this is a good description of a Flat Black-ish color
54	Egg Shell White	Pretend this is a good description of a Egg Shell White-ish color
55	Light Gold	Pretend this is a good description of a Light Gold-ish color
56	Tuna-White	Pretend this is a good description of a Tuna-White-ish color
57	Saddle Brown	Pretend this is a good description of a Saddle Brown-ish color
58	A More Mauvy Shade of Pinky-Russet	Pretend this is a good description of a A More Mauvy Shade of Pinky-Russet-ish color
59	Burnt Sienna	Pretend this is a good description of a Burnt Sienna-ish color
60	Bumpy Blue	Pretend this is a good description of a Bumpy Blue-ish color
61	Carmel Corn	Pretend this is a good description of a Carmel Corn-ish color
62	Teal	Pretend this is a good description of a Teal-ish color
63	Dark Gold	Pretend this is a good description of a Dark Gold-ish color
64	Charging Chartreuse	Pretend this is a good description of a Charging Chartreuse-ish color
65	Royale Purple	Pretend this is a good description of a Royale Purple-ish color
66	Medium Spring Green	Pretend this is a good description of a Medium Spring Green-ish color
67	Ivory	Pretend this is a good description of a Ivory-ish color
68	Crimson Coral	Pretend this is a good description of a Crimson Coral-ish color
69	Sky Blue	Pretend this is a good description of a Sky Blue-ish color
70	Midnight Blue	Pretend this is a good description of a Midnight Blue-ish color
71	SeaFoam Green	Pretend this is a good description of a SeaFoam Green-ish color
72	Alabaster Plaster	Pretend this is a good description of a Alabaster Plaster-ish color
73	Charcoal	Pretend this is a good description of a Charcoal-ish color
74	Emerald	Pretend this is a good description of a Emerald-ish color
75	Russet	Pretend this is a good description of a Russet-ish color
76	Rose Red	Pretend this is a good description of a Rose Red-ish color
77	Medium Orchid	Pretend this is a good description of a Medium Orchid-ish color
78	Candy Apple Green	Pretend this is a good description of a Candy Apple Green-ish color
79	Little Green Apples	Pretend this is a good description of a Little Green Apples-ish color
80	Lemon Chiffon	Pretend this is a good description of a Lemon Chiffon-ish color
81	Burnt Toast	Pretend this is a good description of a Burnt Toast-ish color
82	Thistle	Pretend this is a good description of a Thistle-ish color
83	Pinky-Russet	Pretend this is a good description of a Pinky-Russet-ish color
84	Burnt Amber	Pretend this is a good description of a Burnt Amber-ish color
85	Dark Slate Grey	Pretend this is a good description of a Dark Slate Grey-ish color
86	Moccasin	Pretend this is a good description of a Moccasin-ish color
87	Concrete	Pretend this is a good description of a Concrete-ish color
88	Peach Puff	Pretend this is a good description of a Peach Puff-ish color
